,0,1,2,3,4,5,6
0,16745,"Aug 17, 2024
10:00 AM PDT",OV Toros FC OV Toros FC 2015G White,0 - 9,North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,Morgan Hill Outdoor Sports Complex (No Dogs)  - U1 (7 v 7),Bronze - Region 2
1,16748,"Aug 18, 2024",Los Gatos United Soccer Club 2015G II,1 - 3,Alum Rock Fútbol Club AR - Cheetahs- 2015G,Daves Avenue Elementary,Bronze - Region 2
2,16733,"Aug 24, 2024
8:00 AM PDT",Alum Rock Fútbol Club AR - Cheetahs- 2015G,4 - 1,North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,PSG-Hester Elementary school - Full Turf,Bronze - Region 2
3,16734,"Aug 24, 2024
1:30 PM PDT",Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,1 - 4,Monterey Surf Soccer Club Monterey Surf 15G Academy I,Branciforte Middle School - B40 field 1,Bronze - Region 2
4,16735,"Aug 24, 2024
2:00 PM PDT",Hollister Tremors Hollister Tremors 2015G Dragons,1 - 4,Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,Hollister Tremors (No Dogs on Fields) - Field 4,Bronze - Region 2
5,16732,"Aug 24, 2024
2:30 PM PDT",Almaden FC Almaden FC Quicksilver 15G White,1 - 2,OV Toros FC OV Toros FC 2015G White,Pioneer High School (PINR) - Pioneer High School 1A,Bronze - Region 2
6,16736,"Aug 24, 2024
4:30 PM PDT",Allstars United 15G White,2 - 1,Los Gatos United Soccer Club 2015G II,Congress Springs Park - 7v7 #2,Bronze - Region 2
7,16739,"Sep 07, 2024
10:15 AM PDT",Monterey Surf Soccer Club Monterey Surf 15G Academy I,2 - 7,Alum Rock Fútbol Club AR - Cheetahs- 2015G,Chartwell School - Chartwell School,Bronze - Region 2
8,16738,"Sep 07, 2024
12:00 PM PDT",Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,6 - 0,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,PSG-Watson Park Soccer Field - Field B (TURF),Bronze - Region 2
9,16741,"Sep 07, 2024
12:30 PM PDT",OV Toros FC OV Toros FC 2015G White,2 - 5,Allstars United 15G White,Kirigin Cellars (Parking entrance is on Day Rd) - Syrah (7 v 7),Bronze - Region 2
10,16737,"Sep 07, 2024
1:50 PM PDT",Los Gatos United Soccer Club 2015G II,0 - 1,Hollister Tremors Hollister Tremors 2015G Dragons,Daves Avenue Elementary - 7v7 - Field B,Bronze - Region 2
11,16743,"Sep 14, 2024
8:00 AM PDT",Alum Rock Fútbol Club AR - Cheetahs- 2015G,-,Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,PSG-Hester Elementary school - Full Turf,Bronze - Region 2
12,16744,"Sep 14, 2024
10:15 AM PDT",Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,-,Los Gatos United Soccer Club 2015G II,Branciforte Middle School - B40 field 1,Bronze - Region 2
13,16746,"Sep 14, 2024
12:00 PM PDT",Allstars United 15G White,-,Hollister Tremors Hollister Tremors 2015G Dragons,Congress Springs Park - 7v7 #3,Bronze - Region 2
14,16749,"Sep 21, 2024
12:00 PM PDT",Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,-,Almaden FC Almaden FC Quicksilver 15G White,PSG-Watson Park Soccer Field - Field A (TURF),Bronze - Region 2
15,16747,"Sep 21, 2024
12:45 PM PDT",Hollister Tremors Hollister Tremors 2015G Dragons,-,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,Hollister Tremors (No Dogs on Fields) - Field 4,Bronze - Region 2
16,16751,"Sep 21, 2024
2:45 PM PDT",North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,-,Allstars United 15G White,Piedmont Hills High School - Athletic Field #1,Bronze - Region 2
17,16750,"Sep 22, 2024
9:30 AM PDT",Monterey Surf Soccer Club Monterey Surf 15G Academy I,-,OV Toros FC OV Toros FC 2015G White,All Saints Day School - All Saints Day School 7v7,Bronze - Region 2
18,16753,"Oct 05, 2024
9:30 AM PDT",Alum Rock Fútbol Club AR - Cheetahs- 2015G,-,Hollister Tremors Hollister Tremors 2015G Dragons,PSG-Hester Elementary school - Full Turf,Bronze - Region 2
19,16754,"Oct 05, 2024
11:45 AM PDT",North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,-,Monterey Surf Soccer Club Monterey Surf 15G Academy I,Piedmont Hills High School - Athletic Field #1,Bronze - Region 2
20,16756,"Oct 05, 2024
3:30 PM PDT",Allstars United 15G White,-,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,Congress Springs Park - 7v7 #1,Bronze - Region 2
21,16752,"Oct 05, 2024
3:45 PM PDT",Almaden FC Almaden FC Quicksilver 15G White,-,Los Gatos United Soccer Club 2015G II,Pioneer High School (PINR) - Pioneer High School 1B,Bronze - Region 2
22,16755,"Oct 06, 2024
9:00 AM PDT",OV Toros FC OV Toros FC 2015G White,-,Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,Morgan Hill Outdoor Sports Complex (No Dogs)  - 3A (7 v 7),Bronze - Region 2
23,16758,"Oct 12, 2024
9:00 AM PDT",Hollister Tremors Hollister Tremors 2015G Dragons,-,Almaden FC Almaden FC Quicksilver 15G White,Hollister Tremors (No Dogs on Fields) - Field 4,Bronze - Region 2
24,16757,"Oct 12, 2024
9:00 AM PDT",Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,-,Alum Rock Fútbol Club AR - Cheetahs- 2015G,Branciforte Middle School - B40 field 1,Bronze - Region 2
25,16760,"Oct 12, 2024
12:00 PM PDT",Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,-,North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,PSG-Watson Park Soccer Field - Field B (TURF),Bronze - Region 2
26,16759,"Oct 12, 2024
4:10 PM PDT",Los Gatos United Soccer Club 2015G II,-,OV Toros FC OV Toros FC 2015G White,Daves Avenue Elementary - 7v7 - Field B,Bronze - Region 2
27,16740,"Oct 13, 2024
9:00 AM PDT",North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,-,Almaden FC Almaden FC Quicksilver 15G White,Piedmont Hills High School - Athletic Field #1,Bronze - Region 2
28,16765,"Oct 13, 2024
9:30 AM PDT",OV Toros FC OV Toros FC 2015G White,-,Hollister Tremors Hollister Tremors 2015G Dragons,Kirigin Cellars (Parking entrance is on Day Rd) - Chardonnay (7 v 7),Bronze - Region 2
29,16761,"Oct 13, 2024
12:20 PM PDT",Monterey Surf Soccer Club Monterey Surf 15G Academy I,-,Allstars United 15G White,All Saints Day School - All Saints Day School 7v7,Bronze - Region 2
30,16766,"Oct 19, 2024
11:00 AM PDT",Allstars United 15G White,-,Alum Rock Fútbol Club AR - Cheetahs- 2015G,Congress Springs Park - 7v7 #3,Bronze - Region 2
31,16764,"Oct 19, 2024
12:55 PM PDT",North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,-,Los Gatos United Soccer Club 2015G II,Piedmont Hills High School - Athletic Field #1,Bronze - Region 2
32,16763,"Oct 19, 2024
1:30 PM PDT",Monterey Surf Soccer Club Monterey Surf 15G Academy I,-,Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,Chartwell School - Chartwell School,Bronze - Region 2
33,16762,"Oct 20, 2024
10:30 AM PDT",Almaden FC Almaden FC Quicksilver 15G White,-,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,Pioneer High School (PINR) - Pioneer High School 1A,Bronze - Region 2
34,16774,"Nov 03, 2024
10:30 AM PST",North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,-,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,Piedmont Hills High School - Athletic Field #1,Bronze - Region 2
35,16776,"Nov 10, 2024
2:30 PM PST",Allstars United 15G White,-,Almaden FC Almaden FC Quicksilver 15G White,Congress Springs Park - 7v7 #1,Bronze - Region 2
36,16767,"Nov 16, 2024
9:30 AM PST",Alum Rock Fútbol Club AR - Cheetahs- 2015G,-,Almaden FC Almaden FC Quicksilver 15G White,PSG-Hester Elementary school - Full Turf,Bronze - Region 2
37,16771,"Nov 16, 2024
1:00 PM PST",Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,-,Allstars United 15G White,PSG-Watson Park Soccer Field - Field A (TURF),Bronze - Region 2
38,16770,"Nov 16, 2024
1:50 PM PST",Los Gatos United Soccer Club 2015G II,-,Monterey Surf Soccer Club Monterey Surf 15G Academy I,Daves Avenue Elementary - 7v7 - Field A,Bronze - Region 2
39,16769,"Nov 16, 2024
2:00 PM PST",Hollister Tremors Hollister Tremors 2015G Dragons,-,North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,Hollister Tremors (No Dogs on Fields) - Field 4,Bronze - Region 2
40,16768,"Nov 17, 2024
9:30 AM PST",Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,-,OV Toros FC OV Toros FC 2015G White,Depot Park - Depot Park North,Bronze - Region 2
41,16775,"Nov 23, 2024
9:00 AM PST",OV Toros FC OV Toros FC 2015G White,-,Alum Rock Fútbol Club AR - Cheetahs- 2015G,Morgan Hill Outdoor Sports Complex (No Dogs)  - 3A (7 v 7),Bronze - Region 2
42,16773,"Nov 23, 2024
9:30 AM PST",Monterey Surf Soccer Club Monterey Surf 15G Academy I,-,Hollister Tremors Hollister Tremors 2015G Dragons,All Saints Day School - All Saints Day School 7v7,Bronze - Region 2
43,16772,"Nov 23, 2024
1:00 PM PST",Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,-,Los Gatos United Soccer Club 2015G II,PSG-Watson Park Soccer Field - Field B (TURF),Bronze - Region 2
44,16742,"Nov 24, 2024
3:30 PM PST",Almaden FC Almaden FC Quicksilver 15G White,-,Monterey Surf Soccer Club Monterey Surf 15G Academy I,Pioneer High School (PINR) - Pioneer High School 1A,Bronze - Region 2
